[2020-04-30T16:45:17-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-04-30T16:45:28-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-04-30T16:47:44-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-04-30T16:51:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-04-30T16:51:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-04-30T16:54:33-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-04-30T16:54:34-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-04-30T18:05:30-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-04-30T18:05:30-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-04-30T22:17:27-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-04-30T22:17:27-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-04-30T22:54:14-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-04-30T22:54:14-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 217b2e4866; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-04T19:50:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 3ac5dd312e; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-04T19:50:38-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 3ac5dd312e; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-04T20:03:54-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 3ac5dd312e; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-04T20:03:54-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 3ac5dd312e; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
